epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,3480.45,0.27005,0.36513,0.20643,0.79462,0.98797,0.97816,0.99274,0.97128,0.9854,0.9757,0.99133,0.93792,0.21537,0.40972,0.17898,0.78253,0.00052975,0.00052975,0.00052975
97,3516.52,0.26814,0.35787,0.20504,0.79589,0.99161,0.97517,0.99217,0.97331,0.99031,0.97392,0.99072,0.93994,0.21304,0.44156,0.17825,0.78424,0.0005248,0.0005248,0.0005248
98,3552.4,0.26951,0.36229,0.20374,0.7953,0.98863,0.97983,0.99337,0.97374,0.98754,0.9785,0.99109,0.93735,0.21597,0.4064,0.17904,0.78335,0.00051985,0.00051985,0.00051985
99,3588.35,0.26658,0.35329,0.20374,0.79287,0.9873,0.97986,0.99272,0.97196,0.9854,0.97807,0.991,0.93847,0.21635,0.41779,0.17862,0.78459,0.0005149,0.0005149,0.0005149
100,3624.71,0.26816,0.35994,0.20342,0.79366,0.98531,0.98273,0.99288,0.97182,0.9817,0.9827,0.99161,0.93663,0.21554,0.43371,0.1788,0.78345,0.00050995,0.00050995,0.00050995
101,3660.79,0.26749,0.35795,0.20338,0.79459,0.98896,0.97731,0.992,0.97236,0.99115,0.97223,0.99066,0.94106,0.2134,0.43366,0.17571,0.78383,0.000505,0.000505,0.000505
102,3696.96,0.26673,0.35856,0.20346,0.79465,0.98734,0.9786,0.99175,0.97221,0.98616,0.97503,0.99025,0.94151,0.21391,0.42465,0.17669,0.78347,0.00050005,0.00050005,0.00050005
103,3732.85,0.26765,0.35806,0.20362,0.79458,0.99224,0.97512,0.99281,0.97413,0.98643,0.98028,0.99104,0.93986,0.20885,0.42356,0.17331,0.78011,0.0004951,0.0004951,0.0004951
104,3769.04,0.26681,0.36061,0.20188,0.79363,0.98944,0.98036,0.99259,0.97236,0.98748,0.9799,0.99187,0.93823,0.21234,0.42408,0.17318,0.78217,0.00049015,0.00049015,0.00049015
105,3805.05,0.26805,0.35903,0.20239,0.79347,0.99131,0.97604,0.99305,0.97343,0.99047,0.97537,0.99083,0.93855,0.20909,0.41599,0.17041,0.78133,0.0004852,0.0004852,0.0004852
106,3841.1,0.2655,0.35243,0.20025,0.79272,0.99346,0.97808,0.99283,0.97172,0.9907,0.97613,0.99076,0.93739,0.211,0.40587,0.17403,0.78241,0.00048025,0.00048025,0.00048025
